id,link,title
0,https://www.booking.com/hotel/my/homestay-damai-perdana.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=442&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799749&all_sr_blocks=824989201_346803153_8_0_0&highlighted_blocks=824989201_346803153_8_0_0&matching_block_id=824989201_346803153_8_0_0&sr_pri_blocks=824989201_346803153_8_0_0__25920&tpi_r=2&from=searchresults#hotelTmpl,"HOMESTAY DAMAI PERDANA
Opens in new window"
1,https://www.booking.com/hotel/my/wira.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=177&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799718&all_sr_blocks=2551705_351244248_2_0_0&highlighted_blocks=2551705_351244248_2_0_0&matching_block_id=2551705_351244248_2_0_0&sr_pri_blocks=2551705_351244248_2_0_0__11200&tpi_r=2&from=searchresults#hotelTmpl,"Hotel Zamburger Wira Kuala Lumpur
Opens in new window"
2,https://www.booking.com/hotel/my/east-service-suites-at-times-square.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=301&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799733&all_sr_blocks=837640001_350184068_2_0_0&highlighted_blocks=837640001_350184068_2_0_0&matching_block_id=837640001_350184068_2_0_0&sr_pri_blocks=837640001_350184068_2_0_0__19800&tpi_r=2&from=searchresults#hotelTmpl,"East Service Suites At Times Square
Opens in new window"
3,https://www.booking.com/hotel/my/joseph-kuala-lumpur-robertson-residence.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=425&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799746&all_sr_blocks=844280701_351322037_2_2_0&highlighted_blocks=844280701_351322037_2_2_0&matching_block_id=844280701_351322037_2_2_0&sr_pri_blocks=844280701_351322037_2_2_0__23895&tpi_r=2&from=searchresults#hotelTmpl,"JOSEPH KUALA LUMPUR @ ROBERTSON RESIDENCE
Opens in new window"
4,https://www.booking.com/hotel/my/mi-service-suites-at-times-square.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=287&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799731&all_sr_blocks=798717502_341285629_2_0_0&highlighted_blocks=798717502_341285629_2_0_0&matching_block_id=798717502_341285629_2_0_0&sr_pri_blocks=798717502_341285629_2_0_0__66600&tpi_r=2&from=searchresults#hotelTmpl,"MI Service Suites at Times square
Opens in new window"
5,https://www.booking.com/hotel/my/my-hotel-at-bukit-bintang.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=65&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799702&all_sr_blocks=29633008_266090425_0_0_0&highlighted_blocks=29633008_266090425_0_0_0&matching_block_id=29633008_266090425_0_0_0&sr_pri_blocks=29633008_266090425_0_0_0__8181&from=searchresults#hotelTmpl,"My Hotel @ Bukit Bintang
Opens in new window"
6,https://www.booking.com/hotel/my/maytower-service-apartment-home-stay.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=365&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799740&all_sr_blocks=843541301_351190812_2_0_0&highlighted_blocks=843541301_351190812_2_0_0&matching_block_id=843541301_351190812_2_0_0&sr_pri_blocks=843541301_351190812_2_0_0__11700&tpi_r=2&from=searchresults#hotelTmpl,"Maytower Service Apartment (Home Stay)
Opens in new window"
7,https://www.booking.com/hotel/my/apartment-lux.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=27&hapos=402&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799743&all_sr_blocks=844207001_351315529_2_0_0&highlighted_blocks=844207001_351315529_2_0_0&matching_block_id=844207001_351315529_2_0_0&sr_pri_blocks=844207001_351315529_2_0_0__24300&tpi_r=2&from=searchresults#hotelTmpl,"Apartment LUX
Opens in new window"
8,https://www.booking.com/hotel/my/pinnacle-sri-petaling.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=258&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799728&all_sr_blocks=807485301_342206323_2_0_0&highlighted_blocks=807485301_342206323_2_0_0&matching_block_id=807485301_342206323_2_0_0&sr_pri_blocks=807485301_342206323_2_0_0__27000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Pinnacle Sri Petaling
Opens in new window"
9,https://www.booking.com/hotel/my/home-2br-regalia-kl-near-lrt-ktm-5fen-zhong-bu-xing-dao-di-tie-zhan.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=371&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799740&all_sr_blocks=469022604_145264565_2_0_0&highlighted_blocks=469022604_145264565_2_0_0&matching_block_id=469022604_145264565_2_0_0&sr_pri_blocks=469022604_145264565_2_0_0__28350&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"KLCC Inifinity Pool - The Regalia Residences & Suites by KL minsu
Opens in new window"
10,https://www.booking.com/hotel/my/expressionz-roof-top-skypool.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=451&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799752&all_sr_blocks=829030101_347487715_2_0_0&highlighted_blocks=829030101_347487715_2_0_0&matching_block_id=829030101_347487715_2_0_0&sr_pri_blocks=829030101_347487715_2_0_0__15300&tpi_r=2&from=searchresults#hotelTmpl,"Expressionz Roof top skypool
Opens in new window"
11,https://www.booking.com/hotel/my/parc-residence-by-success-wisdom-du-jia-zhi-fu.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=435&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799749&all_sr_blocks=843926601_351260644_6_0_0&highlighted_blocks=843926601_351260644_6_0_0&matching_block_id=843926601_351260644_6_0_0&sr_pri_blocks=843926601_351260644_6_0_0__36000&tpi_r=2&from=searchresults#hotelTmpl,"Home Sweet Home #Sunway Velocity #Pudu Ulu KL by Success Wisdom 度假智富
Opens in new window"
12,https://www.booking.com/hotel/my/five-senses-suite-dorsett-hartamas.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=27&hapos=127&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799707&all_sr_blocks=573024401_351244816_2_0_0&highlighted_blocks=573024401_351244816_2_0_0&matching_block_id=573024401_351244816_2_0_0&sr_pri_blocks=573024401_351244816_2_0_0__70000&from=searchresults#hotelTmpl,"Dorsett Sri Hartamas KL by Roam
Opens in new window"
13,https://www.booking.com/hotel/my/star-residence-klcc-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=443&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799749&all_sr_blocks=836235101_349127086_2_0_0&highlighted_blocks=836235101_349127086_2_0_0&matching_block_id=836235101_349127086_2_0_0&sr_pri_blocks=836235101_349127086_2_0_0__30694&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Star Residence KLCC
Opens in new window"
14,https://www.booking.com/hotel/my/dorsett-residences-raintree-at-bukit-bintang-kl-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=213&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799721&all_sr_blocks=819538801_344582836_4_0_0&highlighted_blocks=819538801_344582836_4_0_0&matching_block_id=819538801_344582836_4_0_0&sr_pri_blocks=819538801_344582836_4_0_0__94500&tpi_r=2&from=searchresults#hotelTmpl,"Dorsett Residence Service Suite At Bukit Bintang KL
Opens in new window"
15,https://www.booking.com/hotel/my/platinum-serviced-suite-klcc.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799690&all_sr_blocks=723844607_310016627_6_2_0&highlighted_blocks=723844607_310016627_6_2_0&matching_block_id=723844607_310016627_6_2_0&sr_pri_blocks=723844607_310016627_6_2_0__80910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Platinum Serviced Suite Klcc
Opens in new window"
16,https://www.booking.com/hotel/my/promo-theripplesuites-at-the-robertson.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=235&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799724&all_sr_blocks=813018601_344553618_7_0_0&highlighted_blocks=813018601_344553618_7_0_0&matching_block_id=813018601_344553618_7_0_0&sr_pri_blocks=813018601_344553618_7_0_0__19000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Robertson By TheRippleSuites With Netflix
Opens in new window"
17,https://www.booking.com/hotel/my/platinum-suite-at-trx-bukit-bintang-klcc.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=367&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799740&all_sr_blocks=837317501_349558415_4_0_0&highlighted_blocks=837317501_349558415_4_0_0&matching_block_id=837317501_349558415_4_0_0&sr_pri_blocks=837317501_349558415_4_0_0__27000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Continew Service Apartment by WelStay
Opens in new window"
18,https://www.booking.com/hotel/my/2-4pax-revo-aurora-place-bukit-jalil-wifi-tvbox.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=101&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799707&all_sr_blocks=812042904_343475247_3_0_0&highlighted_blocks=812042904_343475247_3_0_0&matching_block_id=812042904_343475247_3_0_0&sr_pri_blocks=812042904_343475247_3_0_0__57000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Revo Home at Pavilion Bukit Jalil
Opens in new window"
